Footballers,Goals,Expected Goals,Assists,Expected Assists,Games Played,Goals Per Games Played,Assists Per Games Played,Shots Per 90,Shot On Target Per 90,Shooting Accuracy(in %),Attempted Passes Per Game,Completed Passes Per Game,Progressive Passes Per Game (in yards)
Ronaldo,815,577,265,361,1124,0.72,0.23,5.71,2.53,38,21.24,17.46,67.61
Messi,773,636,369,214,976,0.79,0.37,5.25,2.48,45.1,39.4,31.79,176.94
Lewandowski,585,433,164,78,810,0.72,0.2,4.6,1.93,43,13.47,10.38,29.48
Ibrahimovic,554,398,227,161,936,0.59,0.24,4.52,2.1,39,13.58,9.53,40.93
Suarez,503,312,278,170,832,0.6,0.33,3.56,1.96,47.6,15.9,11.9,31.9
Aguero,422,211,137,214,770,0.54,0.17,4.39,1.73,38.8,9.87,8.07,19.22
Cavani,416,168,89,62,746,0.55,0.11,3.35,1.53,43.5,7.2,5.66,12.65
Huntelaar,408,442,101,83,738,0.55,0.13,1.72,1.56,93.2,15,11.44,25.33
Rooney,366,608,192,179,884,0.41,0.21,2.48,1.56,32.2,23.94,17.91,104.95
Higuain,350,157,124,89,754,0.46,0.16,3.41,1.65,37.3,12.89,10.27,29.99
